time,latitude,longitude,depth,chlorophyll_a,pH,temperature,salinity,oxygen_concentration_shifted_mgL
UTC,degrees_north,degrees_east,m,ug L-1,1,degrees_C,1,mg L-1
6/12/2024 1:03:05 PM,40.37624,-73.84647,13.00871,2.5915,NaN,11.0448,30.39814,8.619391
6/12/2024 2:57:37 PM,40.37626,-73.8446,14.4673,1.971,7.894423,10.7851,30.4719,7.944032
6/12/2024 2:57:37 PM,40.37623,-73.84455,16.79904,1.898,7.835886,10.4671,30.55347,7.65456
6/12/2024 2:57:37 PM,40.37394,-73.83954,7.382622,3.9347,7.962243,17.4659,28.82713,9.074208
6/12/2024 2:57:37 PM,40.37392,-73.83949,11.61957,3.2339,8.013483,12.6772,30.05406,8.603008
6/12/2024 2:57:37 PM,40.37377,-73.83916,12.99879,2.6645,7.97158,11.8183,30.18633,NaN
6/12/2024 2:57:37 PM,40.37373,-73.83907,7.233781,3.5989,7.987705,16.672,28.81298,NaN
6/12/2024 2:57:37 PM,40.37312,-73.83773,13.19724,2.8324,7.97076,12.0863,30.13222,8.742496
6/12/2024 2:57:37 PM,40.37309,-73.83767,8.493962,3.8836,7.981495,15.6042,28.96852,NaN
6/12/2024 2:57:37 PM,40.37244,-73.83626,12.59197,3.212,7.981223,12.0983,30.07681,NaN
6/12/2024 2:57:37 PM,40.37099,-73.83283,5.943827,2.9492,7.982763,18.0498,28.73741,9.448383
6/12/2024 2:57:37 PM,40.37093,-73.83276,13.34608,3.5916,NaN,12.1455,30.18855,8.708128
6/12/2024 2:57:37 PM,40.3708,-73.8326,23.54607,2.0513,NaN,9.8417,30.69597,7.806208
6/12/2024 2:57:37 PM,40.36979,-73.83131,21.84941,1.9783,7.867631,9.849,30.73941,7.886272
6/12/2024 2:57:37 PM,40.36963,-73.83112,16.35255,2.6207,7.947243,10.8837,30.53899,8.868768
6/12/2024 2:57:37 PM,40.36961,-73.83109,13.62391,4.3143,NaN,11.9633,30.02964,8.928608
6/12/2024 2:57:37 PM,40.36883,-73.83009,13.71321,3.431,NaN,12.0168,30.28862,8.742975
6/12/2024 2:57:37 PM,40.36859,-73.82979,19.52765,2.0367,7.88219,9.9723,30.67652,8.84128
6/12/2024 2:57:37 PM,40.36782,-73.8288,5.665991,2.774,NaN,17.7276,28.8707,NaN
6/12/2024 2:57:37 PM,40.36568,-73.82609,4.634019,2.1827,7.977019,18.4329,28.69409,9.494752
6/12/2024 4:52:09 PM,40.36021,-73.81784,16.16404,4.745,7.903151,10.6556,30.37296,NaN
